gene,LUSC_vs_LUAD
BPIL1,0.1664632239471387
SLC6A4,0.01953770133780447
SOX2,0.1949733921507923
C4orf7,0.03490647636944744
COL7A1,0.2828596691620601
MS4A15,0.15950978408088
PAX7,0.02975196784217432
SOST,0.2675528420246838
HOXB13,0.08165138335001446
CYP2B7P1,0.22180621632793368
CNTNAP2,0.2591885770600737
GDA,0.29601327212798817
NEFL,0.21869439693337678
HP,0.08951100647466781
HGD,0.2936589779024016
IL1F5,0.2437967280465935
HOXB9,0.07802790387924541
B3GNT6,0.33401317156675925
CYP24A1,0.055490746976058214
S100A7A,0.30543130810962
KRT31,0.2321380136891756
SOSTDC1,0.21857128627088768
MS4A8B,0.09673631440023969
CHIA,0.27010617999069764
GJB1,0.3122291275358921
ADH1C,0.027914473156657182
HORMAD1,0.05469161355824631
AGTR2,0.09355806373039788
SYT13,0.05862418259937652
CT45A1,0.12870397869473665
KRT23,0.2526457009201315
KLK7,0.2022157222763703
CPS1,0.1132279489423102
CAPN8,0.36854343424672353
CPB2,0.1583170244368059
KRTDAP,0.30218878957482964
KRT15,0.2090124739751869
IRX4,0.32780299676838776
CHST9,0.1132685800209896
IL1F9,0.2559700473643002
KRT75,0.2573352072307678
CSAG3,0.0594265177622155
LGI3,0.10405343551277063
AZGP1,0.2054236463703673
SERPINB7,0.31250655907790637
C20orf56,0.2688242314402713
AGR3,0.26712774732063815
CXorf61,0.1626244503343889
TOX3,0.29736905251041224
AGER,0.0830493386935009
DLX6,0.2651192277119188
FBN2,0.24447376956916095
COL4A6,0.27120659849856915
AMY1A,0.2116490808934326
HOXD11,0.3667575340513973
PITX2,0.01693515205229712
GABRA3,0.26732404426022366
HOXC13,0.24077239529765565
APOH,0.23618898572018154
TM4SF4,0.1522499339328533
S100P,0.07925228682175578
LMO3,0.2748770042314072
CTAG1B,0.03182409844730941
SOX21,0.2921394374976769
ASCL1,0.08232252881061666
PITX1,0.21403236084355454
ZIC2,0.2932727767541875
MAGEB2,0.11715167821639948
GLB1L3,0.17001291780797587
CSAG1,0.041301261862291855
GGTLC1,0.27978183046098914
MAGEA10,0.1039138109853827
ERN2,0.16248496753853947
PPP1R14D,0.2597643905618275
AKR1B15,0.1698397979130241
AMTN,0.1980314237131955
ALOX15,0.07933116537153423
C1orf110,0.21687509823661533
HABP2,0.23511592457572378
SCTR,0.26846623747536197
TSIX,0.06636319034300758
BMP7,0.3241491945387429
RAET1L,0.44522440386829437
ANXA8L2,0.3246476626314323
NLGN4Y,0.07364430806515032
PROM1,0.05263562730848603
FGFBP1,0.2150650533097035
FAM83A,0.052297069048505285
PCP4,0.15617074572007822
KLK11,0.024601070846963835
HHLA2,0.17690252054029848
CEACAM6,0.21608597238711869
DMRTA2,0.12411258721029911
CHP2,0.3114298794652519
MMP1,0.06722107350358375
CLDN6,0.21198456905306537
PADI1,0.11797909511514881
TNS4,0.22225703363349752
EREG,0.11158943530198828
TEKT1,0.11182479147151972
TFPI2,0.1725756050775994
DPCR1,0.17344638837212922
ZIC5,0.3831003320585755
MMP3,0.20833021453369896
CTAG2,0.031426079344358634
MAGEC2,0.004728114350237261
HHIP,0.10991743756057465
PRSS21,0.20752055037405637
NKAIN2,0.23758328673305965
LGALS4,0.10769994927589804
CHGB,0.015940742472374203
SLCO1A2,0.21146544513446897
KLK5,0.15388487067803958
SOHLH1,0.14080161039294267
GAGE12D,0.04750231172328971
FETUB,0.24821674629995272
PAPL,0.3214702622798121
USH1G,0.41545981361073236
FOXA2,0.29689803584302094
ATP12A,0.12339283098884615
CYP26A1,0.2184699034080624
ABCA12,0.15370585965295064
NLRP2,0.009052669169812289
CRYM,0.2457178035211623
TSPAN8,0.19140148145548425
HOXC11,0.10702670972213213
KLK10,0.15886971656290266
SPAG6,0.10467033444569573
C13orf30,0.12413242457449708
IGFL1,0.24091340782900453
CLDN10,0.04416147494164396
GABRP,0.1642020452392134
PSCA,0.07757917458536162
CLDN2,0.17820711950276022
GJB4,0.39022772872442174
CA4,0.10244718025229582
FABP4,0.04904456685320702
C12orf56,0.2825495805327487
DMRT2,0.27718551034982053
