gene,LUSC_vs_LUAD
C1orf110,0.24386261388052366
HABP2,0.21681885115830907
SCTR,0.20003524524002758
TSIX,0.1096585904919622
BMP7,0.30962813846294945
RAET1L,0.42964810531796593
ANXA8L2,0.2934926279783655
NLGN4Y,0.17326976599437716
PROM1,0.1025141549774693
FGFBP1,0.24189362377577944
FAM83A,0.08043859011858012
PCP4,0.15512699452126955
KLK11,0.030374805661681492
HHLA2,0.15816321548407525
CEACAM6,0.22566791712554024
DMRTA2,0.13349001197791
CHP2,0.2664008826232127
MMP1,0.08338493265388824
CLDN6,0.16703418544801246
PADI1,0.11393412678313039
TNS4,0.21813429908008192
EREG,0.08336441154316887
TEKT1,0.07414149305676826
TFPI2,0.15239878914100907
DPCR1,0.15510628794769815
ZIC5,0.3528558148350423
MMP3,0.17186001028928652
CTAG2,0.07707877192723546
MAGEC2,0.0008575810001715534
HHIP,0.07823577202473353
PRSS21,0.1581009645777789
NKAIN2,0.29649582037838007
LGALS4,0.13190812066425328
CHGB,0.0019613247440820047
SLCO1A2,0.2214417776072243
KLK5,0.12607378832766655
SOHLH1,0.2140358184458565
GAGE12D,0.06582250957056834
FETUB,0.24329679670067542
PAPL,0.2864564271172561
USH1G,0.35997439052758357
FOXA2,0.2386501172367111
ATP12A,0.14249191281076248
CYP26A1,0.19740678351637145
ABCA12,0.1176006887996991
NLRP2,0.03579547195402444
CRYM,0.22424698264028214
TSPAN8,0.15666700718588178
HOXC11,0.07735409015375755
KLK10,0.13511733738202464
SPAG6,0.111680393899796
C13orf30,0.08912036801565587
IGFL1,0.21982525093214345
CLDN10,0.026639142752478973
GABRP,0.10270504530238517
PSCA,0.05145429344180347
CLDN2,0.13273012115277627
GJB4,0.3255300343085948
CA4,0.07626331134623643
FABP4,0.008333763776344039
C12orf56,0.3030771754022772
DMRT2,0.29083495509000384
SPRR2F,0.1991018463707558
RPS28,0.028501381364257727
SERPIND1,0.10716341301549837
LTF,0.007700892719663455
ROS1,0.15589113872499427
SPRR2C,0.1802929324133048
WFDC5,0.24997609973192972
SPDEF,0.2738123930102334
DLX5,0.2605930481235219
PLA2G1B,0.17271317860068816
TMEM40,0.3281910592174859
HHIPL2,0.16248594404467204
LRRN4,0.24002592306092918
ANXA10,0.06735814377495308
