gene,LUSC_vs_LUAD
UTY,0.16818649715160744
LOC642587,0.4257780593533942
FAT2,0.38549869040008045
KRT17,0.2859091842114106
SFTA2,0.34288102170478113
CYP4F11,0.18919753313298993
SFTA3,0.33225509812969267
PI3,0.2715273403645298
TP63,0.3458193337268075
KIF1A,0.06291876609849606
LGALS7,0.30703233136247976
AKR1C2,0.16498237771618873
MUC21,0.2941942742835931
CALML5,0.2840695893197627
FAM83C,0.43368349316984406
PAEP,0.19364190741920265
MSLN,0.195713370658412
SCGB3A1,0.12652525414072646
IVL,0.2144548409545644
C4BPA,0.21313091674375184
TRIM29,0.3391425789541319
CYP4F3,0.2458823753949292
GSTT1,0.047906070595047257
SBSN,0.2950902510323048
NTRK2,0.3159478117610146
UGT1A9,0.32765654170675185
ZFY,0.15790878470277248
MMP10,0.22463298500687762
FGL1,0.25174877668149365
UGT1A10,0.17227087678784797
DMBT1,0.0897048020980265
LGALS7B,0.2983327334719995
MUC13,0.17984735997739545
PTPRZ1,0.30968136873507046
GBP6,0.3450673684926755
LOC84740,0.2467803408780187
CYorf15A,0.15122250919264046
AQP4,0.13548417978955718
WIF1,0.061061831881789264
CEACAM5,0.13721518458706994
C16orf89,0.24907028706518425
TMPRSS11A,0.3741743261369645
BARX1,0.08379041846168139
SLC6A15,0.3392552922066106
MAGEA1,0.1843572866090474
ALDH3A1,0.1668292169223185
ODZ2,0.33510833478059787
MAGEA11,0.3065525392440674
GPR87,0.2947572157684538
SERPINB2,0.31004305750449457
HMGA2,0.20339975673054644
ADAM23,0.3505777887714999
TTTY15,0.15312101060369732
VIL1,0.17216838661094472
MUC16,0.1144890418484793
CTSE,0.1528484920691412
IGF2BP1,0.15838820103044166
C10orf99,0.4058072002825452
GKN2,0.14596171346527362
NR0B1,0.09437616401580495
KLK8,0.18413661537725173
COL17A1,0.18157978610653908
MMP13,0.045599095248466226
CA9,0.11731583190928219
MAGEA12,0.08141788974190128
CAPNS2,0.3858166315363191
PEBP4,0.1532524373331608
MSMB,0.05283184067709995
GJB5,0.39692418512475547
ADH1B,0.12718594745179773
CST1,0.013117481253346441
ANXA8,0.31620068537035384
CYP4B1,0.146144805928843
PIGR,0.15529084014748573
PCSK2,0.05136782817014082
SLC34A2,0.20785452712301034
HOXC10,0.12167120814229926
PPP2R2C,0.24611776282984793
HOXD13,0.3735804082869399
CALCA,0.10662266602045516
TCN1,0.02160197087304999
KRT4,0.09340081490398905
KLK6,0.12088943083669476
LGSN,0.32129268544480494
NELL1,0.06129029588449225
GSTA1,0.07687316044730241
AQP5,0.1853735977892197
SFTPD,0.1435410758793768
FOLR1,0.2506082992544421
CALB1,0.17019384769357876
C20orf85,0.09823270293574937
HBA1,0.06594564072438397
EEF1A2,0.0931110298688611
CYorf15B,0.11365641666244397
SLCO1B3,0.08279509961979592
FAM83B,0.38156726342412256
NKX2-1,0.31568556407647863
CACNA1B,0.33404277416799155
PTHLH,0.2758326138638104
S100A2,0.23806550967765583
PNCK,0.3549008632428494
HNF1B,0.38535697786863976
CPLX2,0.0024956749406287726
BRDT,0.07997478454119822
COL11A1,0.06729784092310431
TFF1,0.11859983198937399
AKR1C1,0.13991703528561472
CLCA4,0.2756033371166847
KIAA0408,0.1671251451190662
KLK12,0.006201649140631427
WDR72,0.27801731856024064
PRKY,0.16721220844486773
BPIL1,0.12414133465968327
SLC6A4,0.010979187355173226
SOX2,0.22755125189297648
C4orf7,0.03449601599589305
COL7A1,0.27999944353682193
MS4A15,0.13776039722785638
PAX7,0.016621537323541796
SOST,0.24004407476114334
HOXB13,0.11089016350168202
CYP2B7P1,0.20098345194235617
CNTNAP2,0.22378435866338497
GDA,0.2673774802745318
NEFL,0.20931108801073559
HP,0.05713394983213521
HGD,0.2687165643406034
IL1F5,0.19761735601146452
HOXB9,0.05054229907661417
B3GNT6,0.286926103373916
CYP24A1,0.07062676998750228
S100A7A,0.2781678700476667
KRT31,0.28741114391762523
SOSTDC1,0.20485419571661972
MS4A8B,0.1256991290008923
CHIA,0.23195801195158391
GJB1,0.2775218644354289
ADH1C,0.013951149426453924
HORMAD1,0.05202340839968406
AGTR2,0.058015550079806355
SYT13,0.00754348484605305
CT45A1,0.13485173508423431
KRT23,0.20517526243812761
KLK7,0.12526540853572482
CPS1,0.07805269301838696
CAPN8,0.3283051343229983
CPB2,0.15601162209413158
KRTDAP,0.257027408403326
KRT15,0.22465661246664093
IRX4,0.3117981633109835
CHST9,0.11775205684705065
IL1F9,0.2562494088754753
KRT75,0.24733635730275705
CSAG3,0.17428303990046215
LGI3,0.10015981590218026
AZGP1,0.14210700196194959
SERPINB7,0.27474970459013925
C20orf56,0.23985339295498653
AGR3,0.20013456343114977
CXorf61,0.1270041030260874
TOX3,0.31620008080355866
AGER,0.08514113274803231
DLX6,0.2956700780131174
FBN2,0.21792374673486298
COL4A6,0.29147101828883554
AMY1A,0.15071289591817932
HOXD11,0.3914066377567222
PITX2,0.02688978052859492
GABRA3,0.33642025572970957
HOXC13,0.2581507890725876
APOH,0.22574240291712006
TM4SF4,0.20690121400357675
S100P,0.11110921208379221
LMO3,0.24756161212464123
CTAG1B,0.09656239311310998
SOX21,0.2517303989346073
ASCL1,0.06271944991275727
PITX1,0.20307495015813665
ZIC2,0.28432783361842723
MAGEB2,0.1439199345866855
GLB1L3,0.18805943121863508
CSAG1,0.07770548626771909
GGTLC1,0.25961002640804054
MAGEA10,0.14617489691187935
ERN2,0.14844000459916196
PPP1R14D,0.29421832994978736
AKR1B15,0.17310501827458813
AMTN,0.2093714651661882
ALOX15,0.04634963245432466
C1orf110,0.2234046509399567
HABP2,0.24984525516994321
SCTR,0.1955144630643869
TSIX,0.10406294971760355
BMP7,0.31028396452600593
RAET1L,0.41489605144503355
ANXA8L2,0.2820577392116106
NLGN4Y,0.1700459809296233
PROM1,0.09753395906064999
FGFBP1,0.23562989462520179
FAM83A,0.07817802331458046
PCP4,0.14900009573518602
KLK11,0.0005485830613687348
HHLA2,0.16400262998472082
CEACAM6,0.23362955177359945
DMRTA2,0.1713530569126987
CHP2,0.26443982815076295
MMP1,0.09765157329012131
CLDN6,0.14852537677599745
PADI1,0.11982109043927985
TNS4,0.2260794010793442
EREG,0.09873514790933463
TEKT1,0.11075610967015936
TFPI2,0.13638902353350474
DPCR1,0.16464834876829557
ZIC5,0.36521135357650425
MMP3,0.18420573706797974
CTAG2,0.09133000220831203
MAGEC2,0.03394529347513986
HHIP,0.075958788088966
PRSS21,0.15591006116291817
NKAIN2,0.31027154054663225
LGALS4,0.13681815663833485
CHGB,0.021444576510526114
SLCO1A2,0.2517469371254744
KLK5,0.11643988405465952
SOHLH1,0.23537315740983325
GAGE12D,0.07015920766276687
FETUB,0.2494995718132348
PAPL,0.30112358886653734
USH1G,0.3654137728464344
FOXA2,0.2671784026281898
ATP12A,0.15279639514469512
CYP26A1,0.21618040900829738
ABCA12,0.11591677318039195
NLRP2,0.03255334624835127
CRYM,0.23055560404204195
TSPAN8,0.17472701493110165
HOXC11,0.12118278467577226
KLK10,0.09467406528629119
SPAG6,0.1171248315496442
C13orf30,0.1140173377409196
IGFL1,0.22114153420965793
CLDN10,0.02118071327161758
GABRP,0.0989259150448849
PSCA,0.0252774823310129
